CID	Dataset	CHD	HD	HL	CHL	CDL	DL	S+ZS	S+HD	S+CHD	S+CHL	SMILES
122370	goodscents	The smell is pungent and sulfurous.	pungent sulfurous	pungent; sulfurous	The smell is sharp and overpowering, like rotten eggs with a burning sulfurous quality.	Pungent aroma with sweet almond notes, harsh gasoline undertones, and a sulfurous bite.	almond; gasoline; sulfurous	The smell of CSCS is reminiscent of garlic, pungent and sulfurous.	garlic onion	The smell is pungent and sulfurous, like rotten eggs or garlic.	The aroma is strongly sulfurous, like rotten eggs.	CSCS
122370	leffingwell	The scent is a pungent mix of garlic, sulfury, savory, and meaty notes.	Garlic, sulfury, savory, meaty	garlic; meaty; savory; sulfurous	Pungent aroma of garlic and meat with a sulfurous undertone, intensely savory.	Pungent aroma with notes of garlic, onion, and sulfurous meatiness.	garlic; meaty; onion; sulfurous	The smell of CSCS is reminiscent of garlic or onion, pungent and sulfurous.	Rotten, garlic, onion, and cabbage-like odor	The smell is pungent and garlicky, with a strong sulfurous note.	The scent is pungent and garlicky with a strong sulfur note.	CSCS
122407	leffingwell	The air is filled with a burnt, smoky odor.	Burnt, smoky odor	burnt; smoky	The smell is pungent and acrid, like burnt embers and smoke.	Smells like burnt, roasted coffee with meaty, nutty, and sulfurous undertones.	burnt; coffee; meaty; nutty; roasted; sulfurous	The odorant has a strong, pungent, and slightly sweet sulfuric scent.	Pharmaceutical, medicinal, sulfurous, slightly sweet odor	The scent is sulfurous and spicy, with smoky, rubbery notes.	The scent features garlic-like, oniony, and sulfurous notes with phenolic undertones.	CCSC1=CC=CC=C1O
122419	leffingwell	The scent is a mild, fruity, and ethereal aroma.	Mild fruity ethereal aroma; mild, weak fruity flavor	ethereal; fruity	The scent is light and airy with sweet, fruity notes, evoking an ethereal fragrance.	The scent is a sweet, fruity aroma with an ethereal and fresh green note.	ethereal; fruity; green; sweet	The odorant has a fruity, sweet scent, reminiscent of ripe tropical fruit.	Sweet, fruity, floral, rose-like and pineapple notes	The scent is fruity and sweet, with notes of apple and pear.	The scent features fruity, floral, and slightly sweet pineapple notes.	CCCC(=O)OCC(C)O
122491	leffingwell	The scent features fatty, green galbanum notes, often used in mint compositions.	Fatty, green galbanum notes; useful in mint compositions	fatty; green	The smell is reminiscent of fresh cut grass with a rich, fatty undertone.	The smell is a pungent, savory blend of fatty and meaty notes with fruity and green undertones.	fatty; fruity; green; meaty	The odorant has a pungent, earthy, and slightly sweet smell, characteristic of cyclopentadecatrienone, a musky fragrance compound.	Fresh, green, grassy, and herbal notes	Fresh, floral, and slightly sweet, with a green, herbal undertone.	The scent is a bright, metallic, and grassy green aroma.	CCC=CCC=CC=CC=C
122510	arctander	The scent is dry-woody with a pleasant sweetness undertone.	Dry-woody, but very pleasant odor with certain sweetness in its undertone.	woody	The scent is earthy and robust, reminiscent of freshly cut wood.	Fresh, earthy scent with floral, fruity, and herbal notes, reminiscent of pine and wood.	camphor; floral; fruity; herbaceous; pine; woody	The odorant has a pungent, earthy, and slightly sweet musky scent.	Dry woody, slightly spicy and herbaceous, earthy, mossy odor with animal undertones.	The scent is earthy, mossy, and woody, reminiscent of damp forest floors.	The scent is earthy, mossy, and woody with a rich, forest floor character.	CC1CCC2C13CC(C2(C)C)C4(C(C3)O4)C
122510	goodscents	The scent features woody, amber, and tobacco notes with sandalwood and patchouli accents.	woody amber tobacco sandalwood fresh linalyl acetate patchouli. Luebke; A precious wood odor reminiscent of ambergris, tobacco, cedarwood and sandalwood. It is powerful, stable, excellent in soap and useful in artificial patchouli. Recommended Uses: Personal care, home care, fabric care, fine fragrance, air care	amber; fresh; herbal; patchouli; sandalwood; tobacco; woody	Earthy, woody scent with herbal and tobacco notes, warmed by amber and sandalwood.	Fresh, citrusy scent with floral, green, and woody notes.	bergamot; citrus_aurantium; flower; freshly_laundered_clothes; green_beans; honey; lemonygrass; peppery; woody	The odorant has a sweet, woody scent, similar to patchouli.	woody earthy patchouli herbal	The scent is earthy, woody, and mossy, with a rich, forest floor aroma.	The scent is a woody, earthy patchouli fragrance with herbal notes.	CC1CCC2C13CC(C2(C)C)C4(C(C3)O4)C
122549	goodscents	The scent is woody, with earthy notes reminiscent of forest surroundings.	woody	woody	The scent is earthy and rustic, reminiscent of forest woods and tree bark.	Earthy, bitter scent with floral and fungal notes, reminiscent of damp wood.	bitter; flower; fungal; woody	The odorant has a pungent, earthy, and slightly sweet scent.	woody earthy sandalwood	The scent is earthy and woody, with rich, mossy undertones and a hint of spice.	The scent is woody and earthy, with a rich, mossy undertone.	CC(=O)C1=C2CC3(CCC2(CC3)C(CC1)(C)C)C
122557	arctander	The scent is sweet, woody-fruity, and reminiscent of dried figs.	Sweet, woody-fruity and very tenacious odor with considerable.resemblanceto the odor of dried figs	fruity; woody	The scent is a sweet blend of fruity and earthy woody notes.	The scent is a sweet floral and fruity blend with earthy woody undertones.	floral; fruity; woody	The odorant has a pungent, camphorous scent, similar to peppermint and eucalyptus.	Sweet-woody, dry-earthy, slightly green odor with fruity undertones and a Cedar-like note.	Fruity and floral notes blend with sweet, waxy honey undertones.	The scent is woody, earthy, and slightly sweet, similar to cedarwood.	CC1=C(C(CCC1)(C)C)C=CC(C)C=O
122903	arctander	It has an almost odorless scent when pure and dry.	When pure and dry, almost odorless.	dry; odorless	The scent is neutral and arid, lacking any distinct aroma.	Sweet caramelic and fruity notes are surprisingly overpowered by an odorless quality.	caramelic; fruity; odorless	The odorant has a sweet, fruity, and slightly tart smell, similar to citrus.	Fruity, slightly sweet and acidic odor, with a chemical undertone.	The smell is pungent, sour, and slightly fruity, like overripe citrus.	The scent has a fruity, slightly sweet and waxy, woody character.	CC1=CC(=O)C(C(=O)O1)C(=O)C
122936	arctander	The scent is sweet and earthy with a lasting, yet subtle, floral presence.	Sweet-balsamic, earthy-floral odor of considerable tenacity, but relatively weak overall	balsamic; earthy; floral	Rich, floral scent with balsamic and earthy undertones.	Earthy, herbal scent with floral and medicinal notes.	floral; hay; herbaceous; medicinal; phenolic	Vanillin's sweet, creamy aroma with hints of caramel and nuttiness.	Sweet, spicy, and floral, resembling Clove and Carnation, strong and persistent.	The scent is sweet and powdery, with vanilla and heliotrope notes.	The scent is a sweet, slightly spicy, and floral vanilla-like aroma.	CC1=C(C=CC(=C1)C=O)OC
122941	goodscents	The scent combines roasted hazelnut, peanut, and earthy notes with hints of pineapple and baked potato.	hazelnut roasted almonds pineapple earthy; Roasted hazel, peanut and baked potato	earthy; hazelnut; pineapple; roasted almond	Rich, earthy scent with nutty and fruity undertones, reminiscent of roasted hazelnuts and pineapple.	Savory, earthy scent with beef, green, and nutty notes, and a hint of spice.	beef; bergamot; eggy; fungal; green_beans; nutty; pea; peppery	The odorant has a pungent, fishy, and ammonia-like smell.	almond cherry sweet	The scent is sweet, floral, and slightly chemical, reminiscent of perfume.	The scent is reminiscent of almond and cherry notes.	CCOC1=NC=CN=C1C
122941	leffingwell	The aroma is rich with roasted nuts, hazelnuts, cocoa, almonds, and peanuts.	Roasted, nutty & hazelnuts, cocoa, almonds, peanuts	cocoa; nutty; roasted	Rich, roasted aroma with notes of cocoa and nutty undertones.	The scent is rich and earthy, with fruity and nutty undertones.	earthy; fruity; green; nutty; roasted; vegetable	The odorant has a pungent, fishy, and ammonia-like smell.	Roasted, nutty, burnt, cereal notes	Sweet, floral notes of honey and rose blend with almond undertones.	The scent features sweet almond and cherry notes with slight bitterness.	CCOC1=NC=CN=C1C
122943	goodscents	The scent is minty, green, and nutty, like roasted bell pepper.	minty green bell pepper nutty roasted; Green Pepper Nutty Roasted	bell pepper; green; minty; nutty; roasted	Fresh, earthy scent with minty and nutty undertones, reminiscent of roasted green bell peppers.	The scent is earthy and rich, with musty and nutty undertones.	musty; nutty	The odorant has a pungent, fishy, and ammonia-like smell.	almond nutty sweet vanilla	The scent is nutty, sweet, and slightly smoky, with a hint of almond.	The scent is reminiscent of sweet almond and cherry notes.	CC(C)(C)C1=NC=CN=C1
123388	goodscents	The scent is a pungent, sulfurous aroma reminiscent of earthy truffle.	sulfurous truffle	alliaceous; green; sulfurous; truffle; vegetable	Pungent, earthy aroma with notes of garlic and sulfur, reminiscent of truffles and fresh vegetables.	Pungent aroma of almond and gasoline with a sulfurous undertone.	almond; gasoline; sulfurous	The smell is reminiscent of garlic, with a pungent and sulfurous aroma.	garlic onion sulfur	The smell is pungent and sulfurous, like garlic or rotten eggs.	The scent is pungent, garlicky, and sulfurous with a strong onion note.	CCSSC
123388	leffingwell	The odor is sulfurous with notes of allium, onion, and truffle.	Sufurous; allium, onion, truffle like	alliaceous; onion; sulfurous	Pungent and overwhelming, like strong onions with a sulfurous kick.	Pungent aroma with fruity undertones, dominated by garlic, meaty, onion, and sulfurous notes.	fruity; garlic; meaty; onion; sulfurous	The smell of dimethyl disulfide (CCSSC) is a strong, unpleasant garlic-like odor.	Onion, garlic, leek-like sulfurous pungency and flavor	Pungent and sulfurous, reminiscent of garlic and onion, with a sharp, piercing quality.	The scent is pungent, sulfurous, and onion-like with a strong garlic note.	CCSSC
123406	arctander	Ethylbenzaldehyde has a sweet, slightly bitter and gassy floral green scent.	Sweet, “sBitter-almond’’-type odor, weaker, but more tenacious than that of Benzaldehyde. A slightly gassy. floral greenness is perhaps the most characteristic feature of the Ethylbenzaldehyde.	almond; floral; gas; green	Sweet almond and floral notes mix with pungent gas and green undertones.	Earthy scent with notes of hay, nuts, and spices, rounded by woody undertones.	hay; herbaceous; nut; spicy; woody	The odorant smells like benzaldehyde, a sweet almond-like fragrance.	Sweet and slightly spicy, uplifting, slightly smoky and herbaceous, strong Cinnamon-like odor.	The scent is pungent, with notes of tar, smoke, and sweet spices.	The scent is a mild, pleasant, and sweet benzaldehyde-like almond aroma.	CCC1=CC=CC=C1C=O
123406	leffingwell	The scent features spicy and bitter almond notes.	Spicy; somewhat bitter almond notes	almond; spicy	The scent is a warm, nutty almond aroma with a hint of spicy undertones.	The scent is sweet and fruity with spicy, hay, and coumarin notes.	coumarinic; fruity; hay; spicy; sweet	The odorant smells like sweet, fruity benzaldehyde.	Sweet, floral, and slightly spicy vanilla-like odor	The scent is sweet and spicy, with notes of vanilla and caramel.	The scent features sweet, floral, and almond-like notes with honey undertones.	CCC1=CC=CC=C1C=O
123935	goodscents	The scent is a mild, savory aroma.	mild savory	mild; savory	The scent is a mild, savory aroma with subtle depth and warmth.	It has no discernible scent, a completely neutral and odorless aroma.	odorless	Pungent, ammonia-like scent with acidic undertones, characteristic of certain amino acids or peptides.	brothy meaty savory umami	The scent is pungent, with strong umami and savory notes, reminiscent of meat broth.	The scent is sweaty and animalic, with a strong umami note.	CC(C(=O)NC(CCC(=O)N)C(=O)O)N
123955	goodscents	The scent is completely odorless, lacking any discernible fragrance.	odorless	odorless	The scent is completely neutral, lacking any discernible aroma or fragrance.	Earthy scent with notes of damp foliage and fungal undertones, slightly sour.	foliage; fungal; sour	Phosphoric acid and magnesium emit a sharp, acidic, and slightly metallic scent.	No scent, odorless magnesium phosphate compound.	No distinct scent, as it's magnesium phosphate, an odorless inorganic compound.	The scent is odorless, as it's an inorganic magnesium phosphate compound.	OP(=O)([O-])[O-].[Mg+2]
125207	goodscents	The scent is a fatty citrus with aldehydic notes.	fatty citrus aldehydic	aldehydic; citrus; fatty	Sharp citrus scent with sweet aldehydic notes and a hint of fatty undertones.	Earthy, floral scent with fecal and fungal undertones, topped with a waxy note.	fecal; flower; fungal; waxy	The odor is a pungent, fatty acid scent, resembling decanoic acid.	soapy fatty waxy	The scent is waxy and earthy, with a mild, soapy undertone.	The scent is a fatty, waxy, and slightly sweet odor.	C=CCCCCCCCCCC(=O)O
125207	leffingwell	The scent is a mix of fatty and citrus notes.	Fatty, citrus	citrus; fatty	The scent combines citrus freshness with a rich, fatty undertone, creating a unique aroma.	Fresh citrus and floral notes blend with creamy dairy and waxy undertones.	citrus; dairy; fatty; floral; fruity; green; rose; waxy	The odor is a pungent, fatty acid smell, similar to sweat or body odor.	Fatty, slightly sweet, waxy, tallowy odor	The scent is a sweet, waxy, and herbal blend with tropical notes.	The scent is waxy, fatty, and slightly sweet with a hint of coconut.	C=CCCCCCCCCCC(=O)O
125468	arctander	The scent is a spicy-rooty and sweet-sour herbaceous odor.	Spicy-rooty, sweet-sour herbaceous odor of moderate tenacity.	herbaceous; rooty; sour; spicy	Pungent aroma with earthy, herbal, and sour notes, accented by spicy undertones.	Sweet, fruity aroma with herbal hints and a sour, airy undertone.	caramelic; ethereal; fruity; herbaceous; sour	The scent is pungent and acidic, characteristic of acetic acid or vinegar.	Acidic, pungent, characteristic Apple-cider-like odor with fruity undertones.	The smell is pungent, sour, and acrid, like burnt or rancid oil.	The scent is pungent, sour, and acrid, like vinegar or burnt plastic.	CC=C(C)C(=O)O
125468	goodscents	The scent is sweet, spicy, and woody with caramel and fruity notes.	sweet dry spicy woody caramel. Luebke; Pungent acidic, with a brown, ripe and fruity nuance. Mosciano; Spicy, cake-like, caramel, woody character. For bready caramel notes in fragrances.; WARM,LEATHER,ANIMAL,SPICY	acidic; brown; caramellic; dry; fruity; pungent; ripe; spicy; sweet; woody	Fruity and sweet caramel notes blend with pungent, woody, and spicy undertones.	Rich, sweet aroma with brown sugar and maple notes, hints of caraway and fungal earthiness.	brown_sugar; caraway; fungal; maple; sweet	The smell is pungent and acidic, like sour fruit or vinegar.	fruity waxy green apple	The scent is sweet and slightly spicy, reminiscent of ripe fruit.	The scent is a pungent, fruity, and slightly sweet acetic aroma.	CC=C(C)C(=O)O
125468	leffingwell	The scent is sweet, warm, and spicy with a cake-like aroma.	Sweet, warm, spicy (cake-like) odor; sweet, caramellic, fruity taste	spicy; sweet; warm	The scent is a warm, spicy sweetness, inviting and comforting.	The scent is a sweet, fruity aroma with burnt caramel notes.	burnt; caramellic; fruity; sweet	Butyric acid's pungent, sour smell is emitted, similar to vomit or sweat.	Sweet, fruity, floral, slightly green apple-like odor	The scent is pungent and herbaceous, with notes of sweet, green grass.	The scent is sharp, green, and metallic with a hint of vinegar.	CC=C(C)C(=O)O
126537	goodscents	The aroma is reminiscent of fresh dill, with a bright and herbaceous scent.	dill	dill	The scent is fresh and herbaceous, reminiscent of pickled dill.	Sweet and floral with hints of citrus and earthy undertones.	candy; citrus_aurantium; dirty; flower; honey; minty; woody	The odorant has a sweet, woody, and slightly spicy scent, reminiscent of cedarwood.	sweet woody floral	Earthy and mossy, with woody and herbal undertones, reminiscent of damp forest floor.	The scent is earthy, mossy, and woody with a herbaceous note.	CC1COC2C1CCC(=C2)C
134944	goodscents	The air is completely odorless, lacking any discernible scent.	odorless	odorless	It has no scent, a completely neutral and odorless aroma.	The scent is a sweet, floral aroma with hints of earthy fungus.	flower; fungal; sweet	The odorant has a pungent, sulfurous, and slightly acidic smell, similar to garlic or onion.	acrid garlic sulfur salty	The smell is pungent and sulfurous, with a strong umami note.	The scent is pungent and sulfurous, similar to garlic or onion.	C(C(C(=O)O)N)SSCC(C(=O)O)N.Cl.Cl
135309	goodscents	The scent is a sweet blend of herbal and musty notes.	sweet herbal musty	herbal; musty; sweet	The scent is earthy and herbal with sweet, musty undertones.	Pungent, sweet, and earthy, with notes of chemicals and feces, like rotten green beans and honey.	chemical; fecal; fungal; green_beans; honey	Butyric acid's pungent, sour smell is reminiscent of vomit or sweat.	fatty sweet fruity waxy	The scent is fresh and herbaceous, with earthy and slightly fruity undertones.	The scent is reminiscent of wood and earthy moss notes.	CCCCC(CC)C(=O)O
136330	goodscents	The scent is refreshingly minty.	minty	minty	The scent is cool and refreshing, reminiscent of peppermint or spearmint.	Earthy, herbal scent with minty and woody notes, reminiscent of damp foliage.	fungal; green_beans; minty; weedy; woody	Camphor's pungent, earthy aroma is released.	woody oriental spicy vanilla tonka	The scent is a sweet, creamy vanilla aroma with warm, woody notes.	The scent is warm and spicy with notes of vanilla and musk.	CC1=CC=CC(CC1=O)(C)C
136335	goodscents	The smell is sulfurous, reminiscent of rotten eggs.	sulfurous	sulfurous	The smell is reminiscent of rotten eggs, pungent and acrid.	Pungent almond scent with a hint of sulfurous undertones.	almond; sulfurous	The smell is reminiscent of garlic due to its sulfide structure.	garlic onion unpleasant sulfur	Pungent, sulfurous aroma, reminiscent of garlic and onion.	The scent is pungent, garlic-like, and unpleasantly sulfurous.	C1CCSSC1
136363	arctander	The scent is a harsh, camphoraceous-minty aroma.	Camphoraceous-minty, rather harsh odor.	camphor; minty	The smell is cool and refreshing, like camphor and mint combined.	Cooling camphor and minty notes blend with fruity and herbaceous hints, creating an ethereal aroma.	camphor; ethereal; fruity; herbaceous; minty	Camphor's pungent, earthy aroma is released by this compound.	Sweet, cheesy, and fruity odor with a sweaty- animalic undertone.	Camphorous and pungent, with minty and earthy undertones.	The scent is a mild, sweet, and slightly herbal camphor-like odor.	CCC(=O)C(C)(C)C
136505	arctander	The scent is a mild, herbaceous-haylike odor with subtle notes.	Very mild, herbaceous-haylike odor with variable amounts of rootlike or pungent notes.	hay; herbaceous; root	Earthy scent with notes of hay, herbs, and rooty undertones.	The scent is light, airy, and otherworldly, evoking a sense of delicate wonder.	ethereal	The odorant has a sweet, ethereal scent, reminiscent of ether or fruity notes.	Ethereal, sweet, slightly spicy and herbaceous odor, reminiscent of Dill.	The scent is sweet and powdery, reminiscent of dried flowers.	The scent is sweet, powdery, and floral with a slightly woody character.	C1CCOC(C1)O
137059	goodscents	The scent resembles butyrate, a pungent and foul-smelling odor.	like the butyrate	like	It smells like a combination of provided words, but none were given, so the scent is unspecified.	Sweet, spicy banana aroma with floral and earthy fungal undertones, hinting at caraway.	banana; caraway; flower; fungal; spicy; sweet	The odorant has a sweet, slightly spicy, and floral scent, reminiscent of vanilla and jasmine notes.	vanilla sweet creamy powdery	The scent is a sweet, powdery vanilla aroma with subtle floral notes.	The scent is a sweet, powdery, and slightly spicy vanilla aroma.	COC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2
137281	goodscents	The scent is a green, herbal aroma with oily undertones.	green, herbal, oily	green; herbal; oily	Fresh cut grass and herbs with a hint of oiliness, evoking a natural scent.	Pungent, sweet, and earthy, with notes of durian and mushroom, and a hint of minty freshness.	black; durian; fir_needles; flower; fungal; green_beans; honey; metallic; minty; mushroom; spicy; sweet; weedy; woody	The odorant smells like fresh, floral, and slightly sweet beta-ionone.	woody earthy spicy lavender	The scent is herbaceous and floral, with a sweet, woody undertone.	The scent is a sweet and fruity floral blend with woody notes.	CC(C)CC=CC(=O)C
137614	arctander	The scent is sweet and diffusive with a slightly gassy undertone.	Sweet, diffusive, somewhat ‘“gassy” odor.	gassy	The smell is pungent and foul, reminiscent of rotten air or digestive emissions.	Fresh cut grass and herbs with a hint of oiliness, evoking a lush, earthy scent.	green; herbaceous; oily	The odor is earthy and herbaceous, similar to lavender or rosemary.	Fruity, slightly sweet, floral and herbaceous odor with a Lavender-like note.	Earthy, herbaceous scent with green and woody undertones, reminiscent of moss.	The scent is a pungent, herbal, and earthy odor, similar to Rosemary.	CC=C(C)CCC=C(C)C
137829	goodscents	The scent is a clean and fresh aroma.	Clean, fresh aroma	clean; fresh	The scent is crisp and refreshing, evoking a sense of cleanliness.	Fresh citrus and mint blend with earthy, floral, and woody notes.	citrus_aurantium; coriander; flower; fungal; green_beans; honey; minty; woody	The odor is a pungent, cyclohexyl methyl ether scent.	mild sweet earthy herbal minty	The scent is warm, woody, and earthy, with a hint of spice.	The scent is a dry, earthy, and mossy woody fragrance note.	CC(C1CCCCC1)O
137829	leffingwell	The scent is mildly oily with herbal-fruity and yeasty notes.	Mild oily, slightly herbal-fruity, somewhat yeasty & fermented	fermented; fruity; herbal; oily	Pungent aroma with fermented, fruity, and herbal notes, finished with a rich oily scent.	The scent is a refreshing, sweet blend of herbal and fruity notes with a hint of mint.	camphoreous; fermented; fresh; fruity; herbal; mint; sweet	The odorant has a pungent, camphorous scent, similar to cyclohexanol.	Cyclamen, sweet, floral, slightly woody odor	The scent is a warm, earthy blend with mossy and woody undertones.	The scent is earthy, woody, and slightly sweet with a mossy note.	CC(C1CCCCC1)O
137980	leffingwell	The aroma is sulfurous with notes of roasted coffee and nuts.	Sulfurous, roasted, coffee and roasted nuts connotation	coffee; roasted; sulfurous	Pungent coffee scent with roasted notes and a hint of sulfurous undertones.	Strong garlic-like aroma with earthy, savory, and sulfurous undertones.	alliaceous; green; meaty; nutty; pungent; sulfurous; vegetable	The odorant has a pungent, sulfurous smell, similar to garlic or onion.	Garlic-like, onion, leek, and strong sulfurous odor	The scent is pungent, reminiscent of garlic and onion, with a sulfurous note.	The scent is sulfurous, rubbery, and garlicky with a metallic note.	CC1=CN=CS1
138176	leffingwell	The scent is pungent and ethereal with notes of green and fruity brandy.	Pungent, ethereal, green, alcoholic, brandy, cognac, somewhat fruity	alcoholic; brandy; cognac; ethereal; fruity; green; pungent	Strong, fruity brandy scent with pungent and ethereal notes.	The scent is a sweet, fruity, and slightly fermented aroma with green and ethereal notes.	alcoholic; ethereal; fermented; fresh; fruity; green; vegetable	The scent is a sweet, fruity, and slightly floral aroma, reminiscent of tropical fruit.	Sweet, woody, earthy, herbal, slightly spicy aroma	Sweet, creamy aroma with notes of vanilla, caramel, and butterscotch, evoking warmth.	The scent is sweet and creamy with vanilla and caramel notes.	CC(C)OC(C)OC(C)C
138187	arctander	The odor is warm, green-spicy, and somewhat floral, varying with product purity.	Warm, green-spicy, somewhat floral odor, varying according to the chemical purity of the product.	floral; green; spicy	The scent is a vibrant, floral blend with green and spicy undertones.	Fresh floral and fruity notes blend with green and herbaceous undertones.	floral; fruity; green; herbaceous	The odorant has a sweet, woody, and slightly spicy scent, reminiscent of vanilla and musk.	Sweet, herbaceous, slightly floral and woody odor with a fruity undertone, reminiscent of Lavender and Geranium.	Sweet, powdery scent with floral and fruity notes, reminiscent of rose and vanilla.	The scent is a floral-woody aroma with sweet, powdery, and slightly herbal notes.	CCOC(C)(C1=CC=CC=C1)OCC
138187	leffingwell	The scent is warm, green-spicy, and subtly floral-fruity.	Warm, green-spicy, somewhat floral-fruity odor	floral; fruity; green; spicy; warm	The scent is a vibrant, floral blend with fruity and spicy undertones.	The scent is a fresh, floral blend with fruity and herbal notes.	floral; fruity; green; herbal	Vanillin-like sweetness with creamy and woody undertones.	Sweet, floral, and fruity notes with a rose accent	The scent is a rich, creamy blend of vanilla and sweet floral notes.	The scent features sweet, creamy, vanilla, and woody notes.	CCOC(C)(C1=CC=CC=C1)OCC
138212	arctander	The scent is semi-sweet, green, and floral with moderate lasting power.	Semi-sweet, green and floral odor of moderate tenacity.	floral; green	The scent is fresh and floral with a hint of green, like a bouquet of spring flowers.	Invigorating scent with camphor, floral, and minty notes, grounded by herbaceous and woody undertones.	camphor; floral; herbaceous; minty; woody	Earthy, woody, and slightly sweet, reminiscent of camphor.	Sweet, floral, slightly woody, and herbaceous odor, reminiscent of Lily and Orange blossom.	The scent is warm and spicy, reminiscent of sandalwood and vanilla.	The scent is woody, slightly sweet, and reminiscent of cedarwood.	CC(C)C(C)(C1=CC=CC=C1)O
138217	arctander	The odor is sharp, fruity, and sweet with a buttery tone.	Sharp and pungent, fruity-buttery odor, sharper, fruitier and sweeter than that of the Di-n-butyryl, not as cheese-like.	buttery; fruity	The scent is sweetly buttery with hints of ripe fruit.	Pungent aroma with camphor, mint, and fruity notes, accompanied by herbaceous and oily undertones.	camphor; fruity; herbaceous; minty; oily	Camphor's pungent, earthy, and slightly sweet aroma.	Sweet, fruity, floral and slightly herbal odor with cheese-like undertones.	Pungent, cheesy smell with sweet and fruity undertones, like ripe blue cheese.	The scent is cheesy, sweaty, and pungent with strong animalic notes.	CC(C)C(=O)C(=O)C(C)C
138260	leffingwell	The scent is fresh, green, and slightly fermented with notes of cognac.	Fresh, ethereal, green, cognac, alcoholic, fermented	alcoholic; cognac; ethereal; fermented; fresh; green	The scent is a fresh, green, and ethereal mix of cognac and fermented notes with an alcoholic undertone.	Rich, fruity scent with notes of cocoa, cognac, and malt.	alcoholic; cocoa; cognac; ethereal; fermented; fruity; green; malty	The odorant has a sweet, ether-like fragrance.	Sweet, slightly herbal, minty-fresh, waxy, and floral rose-like odor	Sweet, creamy aroma reminiscent of vanilla and caramel, with a hint of woody undertones.	The scent is sweet, creamy, and slightly fruity with a hint of vanilla.	CCCC(OC)OC
138418	leffingwell	The scent is sweet and fruity with tropical and juicy notes.	Sweet, estry, ripe fruity, with tropical and juicy notes	fruity; ripe; sweet; tropical	The scent is a sweet, tropical blend of ripe, fruity aromas.	The scent is a sweet and fruity blend of apple and pineapple aromas.	apple; fruity; pineapple; sweet	Butyric acid's pungent, sour smell is reminiscent of vomit or sweat.	Sweet, fruity, slightly floral, and creamy odor	The scent is a warm, sweet blend of vanilla and creamy notes.	The scent features sweet, earthy, and herbaceous notes of camphor.	CCCOC(=O)C(C)(C)C
138420	leffingwell	The scent is fruity and apple-like with a hint of herbaceousness.	Fruity, apple, somewhat herbaceous	apple; fruity; herbal	The scent is a sweet, fruity apple aroma with subtle herbal notes.	The scent is a sweet, floral blend with herbal and woody notes.	floral; fruity; green; herbal; sweet; woody	The odorant has a pungent, camphorous scent.	Mild, sweet, herbaceous, slightly fruity and floral	The scent is sweet, woody, and herbal, reminiscent of sandalwood and vanilla.	The scent is minty, sweet, and herbal with camphor notes.	CCCCOC(=O)C(C)(C)C
138491	goodscents	The scent is earthy, with notes of mushroom, musty undertones, and truffle.	earthy mushroom musty truffle	earthy; mushroom; musty; truffle	Rich, earthy aroma with notes of mushroom and truffle, and a hint of mustiness.	Pungent, acrid scent with sweet almond and onion notes, overpowering gasoline and sulfurous undertones.	almond; gasoline; onion; sulfurous	The smell is garlic-like, pungent, and sulfurous.	garlic, onion, sulfur	Pungent garlic and onion notes dominate, with a strong, sulfurous aroma.	The scent is strongly sulfurous, reminiscent of garlic and onion notes.	CSC(SC)SC
138508	arctander	The odor is oily-sweet with buttery and slightly cheesy notes.	Oily-sweet, buttery taste, often with a slightly cheesy note.	buttery; oily	The smell is rich and buttery with a heavy, oily undertone.	The scent is lightly sweet and fruity, with an airy, ethereal quality.	ethereal; fruity	The odor is pungent and sweet, like burnt caramel or toasted nuts.	Pungent, acrid, fruity and slightly sweet, but mostly oily and unpleasant odor.	Pungent, sour smell reminiscent of sweaty skin and burnt fat.	The scent is a strong, pungent, and sweet ketone-like odor.	CCCC(=O)C(=O)CCC
138508	goodscents	The scent is a rich, fatty, buttery, and creamy aroma.	fatty buttery creamy	buttery; creamy; fatty	The scent is rich and velvety, with a strong buttery and fatty aroma.	Sweet apricot and floral notes blend with earthy, green, and fungal undertones.	apricot; asparagus; flower; fungal; green_beans; sweet	The smell is pungent and acidic, similar to vinegar or sour sweat.	sweet fruity apple wine	The scent is sweet and fruity, with notes of ripe pineapple and tropical fruit.	The scent is a sweet, cheesy, and animalic musky fragrance note.	CCCC(=O)C(=O)CCC
138508	leffingwell	The scent is sweet and fatty with buttery, creamy, and fruity notes.	sweet fatty buttery with creamy, caramelic, fruity, cheese notes	buttery; caramellic; cheesy; creamy; fatty; fruity; sweet	Rich, sweet aroma with buttery, caramel, and fruity notes, and a hint of cheese and cream.	Sweet and fruity, with notes of apple, peach, and green undertones.	apple; fruity; green; peach; sweet	The smell is pungent and acidic, like burnt plastic or strong adhesive.	Buttery, cheesy, creamy, sweet, tropical fruit notes	The smell is pungent, reminiscent of sweat and ripe cheese, with a sharp undertone.	The scent features burnt, caramel-like, and sweet notes with fruity undertones.	CCCC(=O)C(=O)CCC
